02/06/2024 02:13:01 PM::INFO:LOGGER FOR INFO AND WARNINGS IN ASSIGNMENT 6 - CONSUMER
02/06/2024 02:13:01 PM::INFO:successfully connected to postgre server
02/06/2024 02:13:01 PM::INFO:Created Database successfully
02/06/2024 02:13:01 PM::INFO:Successfully connected to assg6 database
02/06/2024 02:13:01 PM::INFO:winnipeg_weather_app table created successfully
02/06/2024 02:13:01 PM::INFO:vancouver_weather_app table created successfully
02/06/2024 02:13:01 PM::INFO:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: connecting to localhost:9092 [('127.0.0.1', 9092) IPv4]
02/06/2024 02:13:01 PM::INFO:Probing node bootstrap-0 broker version
02/06/2024 02:13:01 PM::INFO:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: Connection complete.
02/06/2024 02:13:01 PM::INFO:Broker version identified as 2.5.0
02/06/2024 02:13:01 PM::INFO:Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
02/06/2024 02:13:01 PM::WARNING:group_id is None: disabling auto-commit.
02/06/2024 02:13:01 PM::INFO:Updating subscribed topics to: ('weather_app',)
02/06/2024 02:13:01 PM::INFO:Updated partition assignment: [TopicPartition(topic='weather_app', partition=0)]
02/06/2024 02:13:01 PM::INFO:<BrokerConnection node_id=0 host=ay-virtual-machine:9092 <connecting> [IPv4 ('127.0.1.1', 9092)]>: connecting to ay-virtual-machine:9092 [('127.0.1.1', 9092) IPv4]
02/06/2024 02:13:01 PM::INFO:<BrokerConnection node_id=0 host=ay-virtual-machine:9092 <connecting> [IPv4 ('127.0.1.1', 9092)]>: Connection complete.
02/06/2024 02:13:01 PM::INFO:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv4 ('127.0.0.1', 9092)]>: Closing connection. 
02/06/2024 02:13:02 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -10, 'wind_speed': 22, 'humidity': 73} to database successfully
02/06/2024 02:13:02 PM::INFO:loaded {'city': 'Vancouver', 'temp': 22, 'wind_speed': 12, 'humidity': 96} to database successfully
02/06/2024 02:13:02 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -30, 'wind_speed': 20, 'humidity': 79} to database successfully
02/06/2024 02:13:02 PM::INFO:loaded {'city': 'Vancouver', 'temp': 24, 'wind_speed': 13, 'humidity': 56} to database successfully
02/06/2024 02:13:02 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -5, 'wind_speed': 34, 'humidity': 41} to database successfully
02/06/2024 02:13:02 PM::INFO:loaded {'city': 'Vancouver', 'temp': 5, 'wind_speed': 0, 'humidity': 69} to database successfully
02/06/2024 02:13:06 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -17, 'wind_speed': 33, 'humidity': 47} to database successfully
02/06/2024 02:13:06 PM::INFO:loaded {'city': 'Vancouver', 'temp': 16, 'wind_speed': 27, 'humidity': 74} to database successfully
02/06/2024 02:13:11 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -24, 'wind_speed': 32, 'humidity': 55} to database successfully
02/06/2024 02:13:11 PM::INFO:loaded {'city': 'Vancouver', 'temp': 20, 'wind_speed': 3, 'humidity': 52} to database successfully
02/06/2024 02:13:16 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 28, 'wind_speed': 13, 'humidity': 73} to database successfully
02/06/2024 02:13:16 PM::INFO:loaded {'city': 'Vancouver', 'temp': 10, 'wind_speed': 7, 'humidity': 48} to database successfully
02/06/2024 02:13:21 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -14, 'wind_speed': 26, 'humidity': 51} to database successfully
02/06/2024 02:13:21 PM::INFO:loaded {'city': 'Vancouver', 'temp': 15, 'wind_speed': 20, 'humidity': 77} to database successfully
02/06/2024 02:13:26 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -8, 'wind_speed': 29, 'humidity': 59} to database successfully
02/06/2024 02:13:26 PM::INFO:loaded {'city': 'Vancouver', 'temp': -2, 'wind_speed': 10, 'humidity': 65} to database successfully
02/06/2024 02:13:31 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 27, 'wind_speed': 43, 'humidity': 78} to database successfully
02/06/2024 02:13:31 PM::INFO:loaded {'city': 'Vancouver', 'temp': 21, 'wind_speed': 3, 'humidity': 66} to database successfully
02/06/2024 02:13:36 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 1, 'wind_speed': 36, 'humidity': 80} to database successfully
02/06/2024 02:13:36 PM::INFO:loaded {'city': 'Vancouver', 'temp': 14, 'wind_speed': 3, 'humidity': 33} to database successfully
02/06/2024 02:13:41 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 15, 'wind_speed': 10, 'humidity': 75} to database successfully
02/06/2024 02:13:41 PM::INFO:loaded {'city': 'Vancouver', 'temp': -4, 'wind_speed': 1, 'humidity': 96} to database successfully
02/06/2024 02:13:46 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 14, 'wind_speed': 40, 'humidity': 47} to database successfully
02/06/2024 02:13:46 PM::INFO:loaded {'city': 'Vancouver', 'temp': 13, 'wind_speed': 18, 'humidity': 39} to database successfully
02/06/2024 02:13:51 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 5, 'wind_speed': 49, 'humidity': 67} to database successfully
02/06/2024 02:13:51 PM::INFO:loaded {'city': 'Vancouver', 'temp': 17, 'wind_speed': 4, 'humidity': 88} to database successfully
02/06/2024 02:13:56 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -26, 'wind_speed': 43, 'humidity': 35} to database successfully
02/06/2024 02:13:56 PM::INFO:loaded {'city': 'Vancouver', 'temp': 12, 'wind_speed': 26, 'humidity': 72} to database successfully
02/06/2024 02:14:01 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 6, 'wind_speed': 1, 'humidity': 77} to database successfully
02/06/2024 02:14:01 PM::INFO:loaded {'city': 'Vancouver', 'temp': -8, 'wind_speed': 6, 'humidity': 93} to database successfully
02/06/2024 02:14:06 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 28, 'wind_speed': 46, 'humidity': 61} to database successfully
02/06/2024 02:14:06 PM::INFO:loaded {'city': 'Vancouver', 'temp': 17, 'wind_speed': 5, 'humidity': 31} to database successfully
02/06/2024 02:14:11 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 1, 'wind_speed': 6, 'humidity': 46} to database successfully
02/06/2024 02:14:11 PM::INFO:loaded {'city': 'Vancouver', 'temp': -8, 'wind_speed': 25, 'humidity': 56} to database successfully
02/06/2024 02:14:16 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -17, 'wind_speed': 28, 'humidity': 46} to database successfully
02/06/2024 02:14:16 PM::INFO:loaded {'city': 'Vancouver', 'temp': -3, 'wind_speed': 8, 'humidity': 67} to database successfully
02/06/2024 02:14:21 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 22, 'wind_speed': 8, 'humidity': 71} to database successfully
02/06/2024 02:14:21 PM::INFO:loaded {'city': 'Vancouver', 'temp': 15, 'wind_speed': 28, 'humidity': 30} to database successfully
02/06/2024 02:14:26 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -15, 'wind_speed': 42, 'humidity': 21} to database successfully
02/06/2024 02:14:26 PM::INFO:loaded {'city': 'Vancouver', 'temp': 8, 'wind_speed': 10, 'humidity': 37} to database successfully
02/06/2024 02:14:31 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 15, 'wind_speed': 47, 'humidity': 29} to database successfully
02/06/2024 02:14:31 PM::INFO:loaded {'city': 'Vancouver', 'temp': -3, 'wind_speed': 1, 'humidity': 72} to database successfully
02/06/2024 02:14:36 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -5, 'wind_speed': 44, 'humidity': 25} to database successfully
02/06/2024 02:14:36 PM::INFO:loaded {'city': 'Vancouver', 'temp': 0, 'wind_speed': 10, 'humidity': 97} to database successfully
02/06/2024 02:14:41 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 8, 'wind_speed': 40, 'humidity': 27} to database successfully
02/06/2024 02:14:41 PM::INFO:loaded {'city': 'Vancouver', 'temp': 17, 'wind_speed': 10, 'humidity': 58} to database successfully
02/06/2024 02:14:46 PM::INFO:loaded {'city': 'Winnipeg', 'temp': -17, 'wind_speed': 18, 'humidity': 32} to database successfully
02/06/2024 02:14:46 PM::INFO:loaded {'city': 'Vancouver', 'temp': 23, 'wind_speed': 26, 'humidity': 56} to database successfully
02/06/2024 02:14:51 PM::INFO:loaded {'city': 'Winnipeg', 'temp': 26, 'wind_speed': 11, 'humidity': 71} to database successfully
